query,result_size,documents
Albert Einstein was born in  Ulm,5,"<div>
<p>
  <b><a href=""www.einstein-website.de/z_biography/ulm-e.html"">&#57344;Albert Einstein&#57345; &#57344;in Ulm&#57345;</a></b>
  <br/>
&#57344;ALBERT EINSTEIN&#57345; &#57344;IN ULM&#57345;, 1879 - 1880. Hermann &#57344;Einstein&#57345; (1847-1902), &#57344;born&#57345; in Buchau on the Federsee and merchant &#57344;in Ulm&#57345;, married 18 year-old Pauline Koch (1858-1920) from Cannstatt, the daughter of a purveyor to the royal household and corn-merchant in Stuttgart, on August 8, 1876.
  <br/>
  <b><a href=""www.einstein-website.de/z_biography/ulm-e.html"">www.einstein-website.de/z_biography/ulm-e.html</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Albert_Einstein"">&#57344;Albert Einstein&#57345; - &#57344;Wikipedia&#57345;</a></b>
  <br/>
&#57344;Albert Einstein was born in Ulm&#57345;, in the Kingdom of W&uuml;rttemberg in the German Empire, on 14 March 1879. His parents were Hermann &#57344;Einstein&#57345;, a salesman and engineer, and Pauline Koch.
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Albert_Einstein"">https://en.wikipedia.org/wiki/Albert_Einstein</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.biography.com/people/albert-einstein-9285408"">&#57344;Albert Einstein&#57345; &#57344;Biography&#57345; - &#57344;Biography&#57345;</a></b>
  <br/>
&#57344;Biography.com&#57345; offers a glimpse into the life of &#57344;Albert Einstein&#57345;, the most influential physicist of the 20th century who developed the theory of relativity.
  <br/>
  <b><a href=""https://www.biography.com/people/albert-einstein-9285408"">https://www.biography.com/people/albert-einstein-9285408</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.history.com/this-day-in-history/albert-einstein-born"">&#57344;Albert&#57345; &#57344;Einstein&#57345; &#57344;born&#57345; - Mar 14, 1879 - &#57344;HISTORY.com&#57345;</a></b>
  <br/>
On this day in History, &#57344;Albert&#57345; &#57344;Einstein&#57345; &#57344;born&#57345; on Mar 14, 1879. Learn more about what happened today on History.
  <br/>
  <b><a href=""https://www.history.com/this-day-in-history/albert-einstein-born"">https://www.history.com/this-day-in-history/albert-einstein-born</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""www.imdb.com/name/nm0251868/bio"">&#57344;Albert Einstein&#57345; - Biography - &#57344;IMDb&#57345;</a></b>
  <br/>
&#57344;Albert Einstein was born in Ulm&#57345;, Kingdom of W&uuml;rttemberg, to a German Jewish family. He was the son of Pauline (Koch) and Hermann &#57344;Einstein&#57345;, a ...
  <br/>
  <b><a href=""www.imdb.com/name/nm0251868/bio"">www.imdb.com/name/nm0251868/bio</a></b>
  </p>
</div>
"
Barak Obama was born in  U S A,5,"<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Barack_Obama"">&#57344;Barack Obama&#57345; - &#57344;Wikipedia&#57345;</a></b>
  <br/>
The &#57344;Obama&#57345; Presidential Center is the planned presidential library of &#57344;Barack Obama&#57345;. The center will be hosted by the University of Chicago, ...
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Barack_Obama"">https://en.wikipedia.org/wiki/Barack_Obama</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://en.wikipedia.org/wiki/Barack_Obama_citizenship_conspiracy..."">&#57344;Barack Obama&#57345; citizenship conspiracy theories - &#57344;Wikipedia&#57345;</a></b>
  <br/>
During Barack &#57344;Obama&#57345;'&#57344;s&#57345; campaign for president in 2008, throughout his presidency, and afterwards, a number of conspiracy theories falsely asserted &#57344;Obama&#57345; was ineligible to be President of the United States because he was not a natural-&#57344;born&#57345; citizen of the United States as required by Article Two of the &#57344;U&#57345;.&#57344;S&#57345;. Constitution.
  <br/>
  <b><a href=""https://en.wikipedia.org/wiki/Barack_Obama_citizenship_conspiracy..."">https://en.wikipedia.org/wiki/Barack_Obama_citizenship_conspiracy...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.newsmax.com/FastFeatures/Barack-Obama-Citizenship..."">Citizenship Scandal: 7 Facts About Barack &#57344;Obama&#57345;'&#57344;s&#57345; Birth ...</a></b>
  <br/>
PLEASE NOTE: All information presented on &#57344;Newsmax.com&#57345; is for informational purposes only. It is not specific medical advice for any individual.
  <br/>
  <b><a href=""https://www.newsmax.com/FastFeatures/Barack-Obama-Citizenship..."">https://www.newsmax.com/FastFeatures/Barack-Obama-Citizenship...</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.youtube.com/watch?v=cQcd41RO25k"">Barack &#57344;Obama&#57345; Admits he &#57344;was born&#57345; in Kenya Speech - &#57344;YouTube&#57345;</a></b>
  <br/>
Want music and videos with zero ads? Get &#57344;YouTube&#57345; Red. Working... Not now Try it free. Find out why Close. Barack &#57344;Obama&#57345; Admits he &#57344;was born&#57345; in Kenya Speech
  <br/>
  <b><a href=""https://www.youtube.com/watch?v=cQcd41RO25k"">https://www.youtube.com/watch?v=cQcd41RO25k</a></b>
  </p>
</div>
<div>
<p>
  <b><a href=""https://www.history.com/topics/us-presidents/barack-obama"">Barack &#57344;Obama&#57345; - &#57344;U&#57345;.&#57344;S&#57345;. Presidents - &#57344;HISTORY.com&#57345;</a></b>
  <br/>
Find out more about the history of Barack &#57344;Obama&#57345;, including videos, interesting articles, pictures, historical features and more. Get all the facts on &#57344;HISTORY.com&#57345;
  <br/>
  <b><a href=""https://www.history.com/topics/us-presidents/barack-obama"">https://www.history.com/topics/us-presidents/barack-obama</a></b>
  </p>
</div>
"
